# ----------------------------------------,,,,,,,
# cornellsun.com,,,,,,,
# Demographics: Age,,,,,,,
# 20161108-20171129,,,,,,,
# ----------------------------------------,,,,,,,
,,Total,18-24,25-34,45-54,35-44,55-64
Age,Page Title,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions
18-24,"""The Cornell Daily Sun | Independent Since 1880""",76628,76628,0,0,0,0
25-34,"""The Cornell Daily Sun | Independent Since 1880""",61904,0,61904,0,0,0
45-54,"""The Cornell Daily Sun | Independent Since 1880""",57210,0,0,57210,0,0
55-64,"""The Cornell Daily Sun | Independent Since 1880""",53126,0,0,0,0,53126
35-44,"""The Cornell Daily Sun | Independent Since 1880""",36592,0,0,0,36592,0
65+,"""The Cornell Daily Sun | Independent Since 1880""",20703,0,0,0,0,0
25-34,"""Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun""",15505,0,15505,0,0,0
35-44,"""Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun""",13260,0,0,0,13260,0
18-24,"""Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun""",11968,11968,0,0,0,0
45-54,"""Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun""",11541,0,0,11541,0,0
18-24,"""Missing Cornell Student Found Dead in Gorge | The Cornell Daily Sun""",8708,8708,0,0,0,0
18-24,"""Two Headliners Announced for Slope Day 2017 | The Cornell Daily Sun""",8608,8608,0,0,0,0
25-34,"""Cayuga‰Ûªs Waiters Permanently Dismissed From Campus | The Cornell Daily Sun""",7777,0,7777,0,0,0
18-24,"""Ithaca Police Arrest Cornell Student for Possible Hate Crime in Collegetown | The Cornell Daily Sun""",7003,7003,0,0,0,0
35-44,"""Cayuga‰Ûªs Waiters Permanently Dismissed From Campus | The Cornell Daily Sun""",6740,0,0,0,6740,0
45-54,"""Cayuga‰Ûªs Waiters Permanently Dismissed From Campus | The Cornell Daily Sun""",6577,0,0,6577,0,0
55-64,"""Cayuga‰Ûªs Waiters Permanently Dismissed From Campus | The Cornell Daily Sun""",6264,0,0,0,0,6264
18-24,"""161 Things Every Cornellian Should Do | The Cornell Daily Sun""",6257,6257,0,0,0,0
18-24,"""Cayuga‰Ûªs Waiters Permanently Dismissed From Campus | The Cornell Daily Sun""",6250,6250,0,0,0,0
18-24,"""Former Vice President Joe Biden Named 2017 Convocation Speaker | The Cornell Daily Sun""",6158,6158,0,0,0,0
55-64,"""Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun""",5710,0,0,0,0,5710
