# ----------------------------------------
# cornellsun.com
# Demographics: Age
# 20161108-20171129
# ----------------------------------------

,,Total,18-24,25-34,45-54,35-44,55-64
Age,Page Title,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions
18-24,The Cornell Daily Sun | Independent Since 1880,"76,628","76,628",0,0,0,0
25-34,The Cornell Daily Sun | Independent Since 1880,"61,904",0,"61,904",0,0,0
45-54,The Cornell Daily Sun | Independent Since 1880,"57,210",0,0,"57,210",0,0
55-64,The Cornell Daily Sun | Independent Since 1880,"53,126",0,0,0,0,"53,126"
35-44,The Cornell Daily Sun | Independent Since 1880,"36,592",0,0,0,"36,592",0
65+,The Cornell Daily Sun | Independent Since 1880,"20,703",0,0,0,0,0
25-34,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"15,505",0,"15,505",0,0,0
35-44,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"13,260",0,0,0,"13,260",0
18-24,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"11,968","11,968",0,0,0,0
45-54,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"11,541",0,0,"11,541",0,0
,,"1,802,670","624,780","411,554","267,972","231,990","184,311"

Day Index,Sessions
11/8/16,"5,827"
11/9/16,"9,372"
11/10/16,"11,587"
11/11/16,"9,827"
11/12/16,"5,863"
11/13/16,"3,644"
11/14/16,"7,431"
11/15/16,"5,553"
11/16/16,"6,323"
11/17/16,"6,777"
11/18/16,"4,205"
11/19/16,"2,906"
11/20/16,"3,664"
11/21/16,"6,894"
11/22/16,"4,554"
11/23/16,"2,411"
11/24/16,"1,082"
11/25/16,"1,151"
11/26/16,"1,887"
11/27/16,"1,752"
11/28/16,"3,861"
11/29/16,"6,909"
11/30/16,"6,998"
12/1/16,"8,437"
12/2/16,"5,806"
12/3/16,"3,012"
12/4/16,"2,202"
12/5/16,"2,365"
12/6/16,"2,156"
12/7/16,"1,993"
12/8/16,"24,363"
12/9/16,"5,915"
12/10/16,"2,498"
12/11/16,"2,657"
12/12/16,"9,682"
12/13/16,"7,449"
12/14/16,"4,927"
12/15/16,"3,245"
12/16/16,"4,922"
12/17/16,"2,734"
12/18/16,"2,880"
12/19/16,"2,160"
12/20/16,"1,588"
12/21/16,"2,592"
12/22/16,"1,715"
12/23/16,"1,251"
12/24/16,988
12/25/16,856
12/26/16,"1,294"
12/27/16,"1,984"
12/28/16,"2,130"
12/29/16,"4,963"
12/30/16,"2,066"
12/31/16,"1,101"
1/1/17,"1,134"
1/2/17,"1,246"
1/3/17,"1,835"
1/4/17,"4,141"
1/5/17,"2,330"
1/6/17,"1,461"
1/7/17,"1,101"
1/8/17,"1,111"
1/9/17,"1,360"
1/10/17,"1,310"
1/11/17,"1,112"
1/12/17,"1,574"
1/13/17,"1,919"
1/14/17,"1,181"
1/15/17,"1,439"
1/16/17,"1,494"
1/17/17,"2,104"
1/18/17,"2,270"
1/19/17,"1,744"
1/20/17,"2,263"
1/21/17,"5,029"
1/22/17,"2,221"
1/23/17,"4,750"
1/24/17,"8,950"
1/25/17,"5,040"
1/26/17,"5,630"
1/27/17,"3,807"
1/28/17,"2,588"
1/29/17,"2,889"
1/30/17,"4,572"
1/31/17,"7,788"
2/1/17,"7,631"
2/2/17,"5,347"
2/3/17,"5,753"
2/4/17,"7,154"
2/5/17,"3,299"
2/6/17,"4,638"
2/7/17,"6,331"
2/8/17,"5,396"
2/9/17,"4,479"
2/10/17,"4,610"
2/11/17,"3,574"
2/12/17,"2,738"
2/13/17,"4,739"
2/14/17,"6,119"
2/15/17,"5,379"
2/16/17,"4,300"
2/17/17,"6,304"
2/18/17,"5,187"
2/19/17,"2,691"
2/20/17,"2,954"
2/21/17,"2,519"
2/22/17,"4,744"
2/23/17,"7,973"
2/24/17,"5,395"
2/25/17,"2,681"
2/26/17,"2,632"
2/27/17,"8,109"
2/28/17,"9,768"
3/1/17,"10,591"
3/2/17,"12,164"
3/3/17,"9,424"
3/4/17,"4,694"
3/5/17,"3,145"
3/6/17,"12,762"
3/7/17,"11,508"
3/8/17,"8,487"
3/9/17,"11,225"
3/10/17,"6,923"
3/11/17,"4,306"
3/12/17,"5,185"
3/13/17,"9,018"
3/14/17,"13,517"
3/15/17,"8,313"
3/16/17,"6,428"
3/17/17,"6,325"
3/18/17,"8,766"
3/19/17,"6,799"
3/20/17,"9,185"
3/21/17,"15,027"
3/22/17,"6,894"
3/23/17,"7,949"
3/24/17,"6,460"
3/25/17,"6,584"
3/26/17,"5,658"
3/27/17,"7,373"
3/28/17,"10,231"
3/29/17,"9,319"
3/30/17,"9,324"
3/31/17,"8,172"
4/1/17,"4,448"
4/2/17,"2,844"
4/3/17,"6,758"
4/4/17,"5,879"
4/5/17,"5,133"
4/6/17,"2,724"
4/7/17,"2,270"
4/8/17,"1,744"
4/9/17,"5,817"
4/10/17,"4,057"
4/11/17,"8,473"
4/12/17,"9,881"
4/13/17,"15,056"
4/14/17,"9,133"
4/15/17,"3,507"
4/16/17,"4,280"
4/17/17,"11,376"
4/18/17,"8,701"
4/19/17,"12,875"
4/20/17,"8,596"
4/21/17,"10,112"
4/22/17,"5,877"
4/23/17,"3,396"
4/24/17,"6,030"
4/25/17,"7,577"
4/26/17,"20,338"
4/27/17,"8,789"
4/28/17,"24,549"
4/29/17,"4,310"
4/30/17,"3,846"
5/1/17,"6,983"
5/2/17,"22,334"
